date,myr_usd,source
2020-01-31,4.26747587759083,BNM_approximated
2020-02-29,4.308868714119355,BNM_approximated
2020-03-31,4.359707702616279,BNM_approximated
2020-04-30,4.323085243343838,BNM_approximated
2020-05-31,4.261050959840525,BNM_approximated
2020-06-30,4.208041721173173,BNM_approximated
2020-07-31,4.216507842828961,BNM_approximated
2020-08-31,4.23635763206873,BNM_approximated
2020-09-30,4.152703430085717,BNM_approximated
2020-10-31,4.209676687519171,BNM_approximated
2020-11-30,4.261710919377942,BNM_approximated
2020-12-31,4.286274307334385,BNM_approximated
2021-01-31,4.201470331132559,BNM_approximated
2021-02-28,4.218560395320736,BNM_approximated
2021-03-31,4.165904494170671,BNM_approximated
2021-04-30,4.2653330809748145,BNM_approximated
2021-05-31,4.227016784627783,BNM_approximated
2021-06-30,4.234615636164468,BNM_approximated
2021-07-31,4.2409013704435345,BNM_approximated
2021-08-31,4.276878153741508,BNM_approximated
2021-09-30,4.264563569468356,BNM_approximated
2021-10-31,4.185984040654407,BNM_approximated
2021-11-30,4.210456502773697,BNM_approximated
2021-12-31,4.303276363137862,BNM_approximated
2022-01-31,4.2238607990951245,BNM_approximated
2022-02-28,4.259811162768137,BNM_approximated
2022-03-31,4.2870228223037214,BNM_approximated
2022-04-30,4.218571091993056,BNM_approximated
2022-05-31,4.273240900224598,BNM_approximated
2022-06-30,4.33096355516175,BNM_approximated
2022-07-31,4.351808918629398,BNM_approximated
2022-08-31,4.336242283336305,BNM_approximated
2022-09-30,4.300436866230418,BNM_approximated
2022-10-31,4.312241870270641,BNM_approximated
2022-11-30,4.375606577482573,BNM_approximated
2022-12-31,4.359635260736712,BNM_approximated
2023-01-31,4.407896407316174,BNM_approximated
2023-02-28,4.4072664996906985,BNM_approximated
2023-03-31,4.436968540961942,BNM_approximated
2023-04-30,4.437248904837068,BNM_approximated
2023-05-31,4.415591480470103,BNM_approximated
2023-06-30,4.504232473906149,BNM_approximated
2023-07-31,4.433776801120436,BNM_approximated
2023-08-31,4.48801616965673,BNM_approximated
2023-09-30,4.453700868541531,BNM_approximated
2023-10-31,4.514476944193682,BNM_approximated
2023-11-30,4.445955246395756,BNM_approximated
2023-12-31,4.50576277128238,BNM_approximated
2024-01-31,4.312339384613313,BNM_approximated
2024-02-29,4.3056378283735866,BNM_approximated
2024-03-31,4.356735014825996,BNM_approximated
2024-04-30,4.376711229696788,BNM_approximated
2024-05-31,4.4085143615977795,BNM_approximated
2024-06-30,4.366548408127823,BNM_approximated
2024-07-31,4.440780556482627,BNM_approximated
2024-08-31,4.452293784825656,BNM_approximated
2024-09-30,4.474466013047264,BNM_approximated
2024-10-31,4.531162493820165,BNM_approximated
2024-11-30,4.59052288966689,BNM_approximated
2024-12-31,4.583318597355961,BNM_approximated
